b,Etr,Er1,Er2,Etrp,Er1p,Er2p,Teq
0.721732254631686,1548.0525170508865,1180.8782495259613,933.7370400891268,1552.833331852681,1171.5825818799788,938.1656884562512,692.9017844802798
0.3081183105357184,2393.199724323983,230.40679498688314,988.5926737032015,1549.6027884643952,718.8602701713654,1343.647059001452,630.2397270712961
1.4882658042082915,660.2777086178725,15.798746033656972,133.09748501322773,661.5387176034104,14.7031206321157,132.8751813558123,475.2585466028613
0.3331592744129679,1802.3053711925068,139.99646873396847,32.905985720067875,1741.4339812473847,207.8558565935856,25.823023093355367,462.9813770233718
0.7632398362998594,704.8013252799869,3239.3460374065075,123.66373323521788,696.630028630204,3253.8992963523942,117.19596378658584,528.6895056383117
0.708700786779236,424.6102381642136,216.6365238063898,21.884009042177404,466.5765138567966,145.60791935347166,50.85740906902877,217.5772815528747
0.95273190491119,59.18223265552419,262.8766582036106,22.841262487794484,150.09676436131733,165.1471217707758,29.619142192993547,149.32707706432734
1.2465459680375461,605.9117147362323,610.2262483727486,2442.6743289131596,599.9226820838187,605.8071795805581,2453.0151067445695,491.78493167611197
0.03269320069410975,230.71323629682666,15.19237917035881,88.2761020003142,150.21701501790113,2.8263732736736875,181.0386398062242,194.75650685795327
0.4310064620167292,903.7276993497634,282.3731847890933,548.4293756045392,1248.0772195926857,134.48638452766133,351.87210246404834,601.8324172543821
0.774096554191852,509.26174136583245,216.73543567139924,7.184507318732865,341.8811805010533,242.97893518516992,148.23738460552448,278.44307491038205
0.28241998246153166,5299.322169528737,378.8058705233311,1809.577039549988,5662.110851182143,85.10705797892457,1740.3917768041624,732.0426656131601
1.0134297917903763,1235.555755088997,897.2857015900843,470.3671867286128,1594.712557885202,719.3560924750027,289.06426412905194,459.1706758373997
0.7748783487208292,4988.235628426528,646.3495004444309,2951.2445964105364,3810.5512173178877,1096.1882791347318,3678.9905008928367,971.3768912185694
0.8048672588662871,1234.4894971467936,362.12652741488637,509.03395857361363,1794.580243792845,38.09994742232808,272.88664062628504,778.3295156428137
0.10061111314612159,1130.8580131360284,299.10948843106667,783.9437079950532,1040.9757658038397,426.646185974667,746.19086913729,466.29876500500717
0.262823665889274,356.6629349972091,33.032064428029706,5.64318721995768,219.42559804250567,149.5898816012298,26.225010247569326,101.43267317789042
1.3987139591841975,570.2195042511537,305.141682307355,120.93380850225115,570.5147434119566,305.16248298954036,120.55833874656881,303.73144182349193
