Etr,Er1,Er2,Etrp,Er1p,Er2p
1977.8845703417333,347.3200110623473,3785.812384816636,3728.538727725403,450.59440330685777,1931.8838351884554
258.9772087818557,29.57802960967544,103.32955373160053,179.47514192989902,50.37863753153915,162.03101266169347
3196.9806302953007,2262.361446745991,21.14180571271073,5279.390361619669,30.951967200541702,170.14155393379144
170.83000253206507,136.08840253950734,651.2139450821633,471.19373442483766,467.50658291385304,19.43203281504504
325.5759119664089,142.6024845530877,516.2954919895781,587.9124964476653,377.6513494726105,18.910042588798856
2887.948247677745,1114.410697685223,746.8764236155341,2059.3698970678515,2074.116071776301,615.7494001343499
1671.4627681403115,408.23918218062465,1725.478552268368,2508.7730125485364,202.25402641090213,1094.1534636298657
6833.019643570597,595.365269621094,23.454965761381697,5253.1176612711,2117.565740696651,81.15647698532132
5835.165864987698,1112.7304913901946,5792.896672036653,2970.76545631593,4020.9495098037764,5749.07806229484
241.56377027661986,301.41690691032227,967.0634779468187,1406.4367909597304,58.127754554666424,45.47960961936405
5634.518975527115,20.380668523111964,51.583571482151434,2066.1866184354576,1138.8528582471529,2501.4437388497677
1888.9764213060193,205.48189081042446,864.4016539948201,1500.5134068458603,1364.3850095305272,93.96154973487654
1680.5349634068039,299.0157647423697,131.21315178979526,512.4619125030848,1233.4854527271873,364.8165147086968
1804.6030635090904,644.1320060209399,434.7388329573672,766.5206385439672,1203.538614022709,913.4146499207213
363.9661984478653,50.64957857318438,606.2879833364084,965.5223188896798,1.2927142203277338,54.088727247450485
1560.090555944334,45.92421774876275,113.26410001945061,1165.6354731298832,56.68761124014627,496.955789342518
368.0683542783611,1063.662319344653,781.4059670789909,1331.1529913972379,124.47407041006667,757.5095788947004
2488.9379430924164,167.65763869694004,213.47753900974362,349.6041837877452,1933.009388314526,587.4595486968291
738.2925110971635,35.13972608364095,309.8598465021566,442.64511150152066,437.06643971710116,203.58053246433917
312.2988601965277,1.238875834952186,1012.2833586530236,518.9937014083853,205.15104117992848,601.6763520961896
148.95107504197387,699.3187373634062,176.16282782572597,264.90796789566497,233.97991491767266,525.5447574177684
521.1750842956418,154.59809720507465,122.72298996396694,370.0042705968547,275.40808925017615,153.0838116176525
2029.591114941514,816.5984281448527,100.37656669607964,1800.716072677112,1062.637116996694,83.21292010864056
4816.217531638668,569.086405509738,1493.6962043924973,4103.245186163429,747.493280450443,2028.2616749270312
29.235856027699455,45.06214806719168,1.0368484775002362,42.23445797682933,9.520633585585767,23.579761009976266
1699.3705820322039,2334.6835964535762,641.671539795642,2407.2569195578403,1796.2690493946727,472.19974932890887
2157.122068704942,114.94253832574249,449.1546662604368,2225.438283114588,89.40457562332324,406.3764145532104
27.933804464442947,1555.9328907366225,908.1774077891422,200.51361662230048,75.17736926319898,2216.3531171047084
373.95963326743663,986.203828255921,530.6282578249286,1155.4688186694555,724.8337809783208,10.489119700509908
73.4328179110383,4.871567098099804,3.2801983128570007,44.2142178816234,2.2999293831923047,35.0704360571794
1283.8474419431532,64.23110635726755,51.7859027209662,690.7387897478854,422.1196245123712,287.00603676113025
506.406332758881,1.9472250648748441,3.3217491331844085,364.80806245950924,43.276260531733186,103.59098396569783
1643.6871442626195,536.7628047878967,368.81193984668846,1097.742127936022,595.4623004001835,856.0574605609993
3648.9408416491174,1572.6462185428056,887.1570592555091,4129.387470312534,817.4084754618833,1161.9481736730147
926.440425610709,905.060191182513,138.1060214374334,791.0310950343724,617.6787682116897,560.8967749845933
2740.7076179158184,295.11012324316954,1026.7090889560084,2578.548106233972,772.6046058708229,711.3741180102019
1817.7936519269049,125.04710485200357,27.21927877889761,303.0264109731149,541.530793185848,1125.5028313988432
390.3489745878805,235.81253410530385,2921.1440640381593,1761.6166703648912,768.7075671290563,1016.981335237396
2888.588736599915,2998.45826621846,500.08832575586393,2808.8142935935734,789.6686321536546,2788.652402827011
1352.0179470665319,138.23012507778182,344.5058524484634,1169.1956742479726,661.490465345792,4.067784999012393
960.1573289938065,1418.3673897546316,130.68403550600414,962.6529718648301,139.00325813850415,1407.552524251108
1359.6944676101482,917.8698195506169,560.9264866753898,1159.0499724085914,1350.3696972409634,329.0711041866001
1182.685683147533,55.667180929854254,303.72885592837395,161.65321414094242,1244.0770526355116,136.351453229307
849.7052750872507,182.33629093875385,216.86922659642144,955.1491002896431,54.88297222643891,238.87872010634402
50.88593052966921,139.28206212771056,309.14223990264765,88.18985781066786,59.9387946260062,351.1815801233533
4841.520868721163,26.793383095027043,68.03455039449153,3235.2468606074112,262.81377260255505,1438.288169000716
381.7256274105412,9.78932127920387,5.249853737536916,300.5425348408254,48.790013286179246,47.43225430027736
2174.6106256703547,58.43266538374508,343.9380022029511,2019.830581008272,26.16211801245824,530.9885942363205
2479.8885767849197,738.90642168742,260.42112793844,2716.2670725202597,115.38133959442155,647.5677142960984
573.4011367681509,248.51961198261782,568.9834814339965,812.6726663890324,63.121502700442655,515.1100610952902
5800.452546311976,824.3781788677759,229.9263356137525,5860.940370422435,126.35756458677098,867.4591257842991
378.79713203047095,67.6757666809396,22.33712622977253,231.26927373839823,232.20408597293724,5.336665229847593
1066.4988132342944,1279.3556214348616,912.9567021411721,2325.7711050789226,49.86257905364378,883.177452677762
554.8245389610438,1560.12451932276,133.83261404581518,1990.1219195637377,222.54796258547432,36.11179018040709
504.80942226378914,9.339436093487441,10.080628937591994,202.6962384265634,275.85595763053254,45.67729123777259
251.16971052856306,922.3909880630073,1935.6286414082608,1577.6003370854262,428.8888632805887,1102.7001396338162
64.05613477064938,90.31358288315236,165.83889952110718,245.58886887937393,0.6709782648242978,73.94877003071068
57.76993924795469,178.32083725151745,329.98838415563756,312.98833675960293,77.03750384000747,176.0533200554993
2173.7465717245163,131.3600294692069,118.93322367847654,351.79568053336334,908.103372009328,1164.1407723295085
1516.195222086443,216.06153954764932,15.855943364683124,1198.4657235750487,100.7154665651695,448.9315148585572
2375.93843704182,1567.4735389875004,3387.213646431195,4337.251519000252,376.9597046380433,2616.414398822219
479.59458432982075,147.45285493694803,56.51059129197897,475.09995606351373,159.98922016475228,48.46885433048175
6018.38289120309,1995.1414895908397,320.8782377771888,4806.012881181485,728.2977259875726,2800.092011402062
1009.9731007538699,119.33596389970175,469.03210925135585,343.62475631492276,298.96340146332454,955.7530161266802
1334.0687561632378,265.7370846433644,129.5355563486631,1223.2823774900944,254.48925380755853,251.56976585761257
1809.231426931038,1342.491464675259,1883.2550343118162,1148.9086039534818,1247.9198684308255,2638.1494535338056
395.0349807470618,46.5747455469685,13.239361585499578,257.35051454600284,12.78319772275686,184.71537561077014
2027.9559369620915,2682.5045896965844,953.8007447183037,1630.886526937741,2490.8779853178935,1542.4967591213447
2609.101905142299,1223.3736155089778,278.0702572603254,1768.1261298155175,268.91609670811044,2073.5035513879743
1510.695486568688,50.735114216434724,166.6679298343597,347.8468102773153,62.91859850724306,1317.3331218349242
3263.802646690991,26.8554403217596,9.466379641484199,2116.504210462324,243.00549185084134,940.6147643410695
