b,Etr,Er1,Er2,Etrp,Er1p,Er2p
1.1131785161665473,2000.0,800.0000000000001,1199.9999999999998,2029.379534958849,680.3608009877069,1290.1882303032698
0.6368668974390035,2000.0,800.0,1199.9999999999998,1435.2539750457495,714.1609518829197,1850.490922132561
0.6386037961986684,2000.0,799.9999999999999,1199.9999999999998,3112.094308017528,188.68210227111993,699.1320177348119
1.146255846193022,2000.0,800.0,1200.0,2138.942505448814,641.0832203583792,1219.90521643195
0.27286409367993236,2000.0,800.0,1199.9999999999998,1312.7427010874228,284.5059847872731,2402.6578166355052
0.09362835567826211,2000.0,800.0000000000001,1199.9999999999998,3117.052915356291,358.6060233666301,524.2408437265353
0.09628449228143243,2000.0,800.0,1199.9999999999998,3632.222214967974,344.368826272055,23.297045405020274
0.9415233465820042,2000.0,800.0,1199.9999999999998,2015.7528122623282,485.1780408503134,1498.9877582208255
1.293931763176174,2000.0,800.0,1199.9999999999998,1999.7836299155629,790.8095289332747,1209.3422563067363
0.8563585546960748,2000.0,799.9999999999999,1199.9999999999998,1919.8762070495316,398.05350633164176,1681.9846275476464
0.06410097310078089,2000.0,799.9999999999999,1199.9999999999998,1756.0161707136047,637.7483984753425,1606.1345987188386
1.0490552484519777,2000.0,800.0,1199.9999999999998,2156.142811025224,628.4678014279065,1215.3135288212784
1.3752682177604716,2000.0,799.9999999999999,1199.9999999999998,1999.9361120238334,801.2690874427391,1198.7336063977807
0.5432923668546247,2000.0,800.0,1199.9999999999998,2492.798457326186,1447.5600984550713,59.54302428102146
1.1231306994928734,2000.0,800.0000000000001,1200.0,2019.9430160240724,717.8514267854832,1262.1337668542405
0.864384346683596,2000.0,800.0,1199.9999999999998,2115.110595335832,668.2211387990211,1216.586705670119
0.35118155151440344,2000.0,800.0,1199.9999999999998,1271.3766080724922,1926.3035569416568,802.222316775686
1.40162097455875,2000.0,800.0,1199.9999999999998,1999.3622755217245,800.2097237142211,1200.3687209059638
1.2472329474460961,2000.0,800.0,1199.9999999999998,2003.1288944562277,789.8042064349225,1207.0015833635077
0.08994688584312505,2000.0,800.0,1200.0,3499.0112039557075,270.5671405666518,230.31297525188282
1.2835616987643927,2000.0,800.0,1199.9999999999998,1999.43045814485,803.3554702456871,1197.1490996933157
0.5484408365556169,2000.0,800.0,1199.9999999999998,1586.0051611111367,1005.6718190889699,1408.2274104060393
0.5629062799652168,2000.0,800.0000000000001,1199.9999999999998,1465.422381365468,980.0210074492445,1554.4667809320676
0.5101693991703699,2000.0,800.0000000000001,1200.0,1900.591145512175,567.2842602471965,1532.0309927278495
0.14733722540629424,2000.0,799.9999999999999,1200.0,1841.3034418900456,1066.2848060584702,1092.3126044055916
1.3749378841941717,2000.0,800.0000000000001,1199.9999999999998,1998.9381190021877,800.4984717026838,1200.5011631465673
1.2114493622815492,2000.0,800.0000000000001,1199.9999999999998,2013.2210249750526,794.9190549138439,1191.7934183040534
0.3309520431176962,2000.0,800.0,1199.9999999999998,2862.5321784577814,328.9847311688607,808.381628771452
1.3761191794740877,2000.0,800.0000000000001,1199.9999999999998,2001.2955925648937,797.3287689207674,1201.3142930155404
